No.,名称,经度(度),纬度(度),高程(米)
0,0,101.601562500,41.244772343,1121.113
1,0,102.251960099,41.244772343,1267.808
2,0,102.902357698,41.244772343,1434.104
3,0,103.552755297,41.244772343,1374.916
4,0,104.203152896,41.244772343,1351.987
5,0,104.853550495,41.244772343,1267.267
6,0,105.503948094,41.244772343,1257.028
7,0,106.154345693,41.244772343,1195.544
8,0,106.804743291,41.244772343,1058.778
9,0,107.455140890,41.244772343,1070.139
10,0,108.105538489,41.244772343,1064.927
11,0,108.755936088,41.244772343,1136.163
12,0,109.406333687,41.244772343,1633.000
13,0,110.056731286,41.244772343,1277.875
14,0,110.707128885,41.244772343,1559.918
15,0,111.357526484,41.244772343,1129.575
16,0,112.007924083,41.244772343,1225.376
17,0,112.658321682,41.244772343,1419.669
18,0,113.308719281,41.244772343,1514.691
19,0,113.959116880,41.244772343,1334.368
20,0,114.609514479,41.244772343,996.816
21,0,115.259912078,41.244772343,921.520
22,0,115.910309676,41.244772343,939.239
23,0,116.560707275,41.244772343,567.519
24,0,117.211104874,41.244772343,547.243
25,0,117.861502473,41.244772343,586.585
26,0,118.511900072,41.244772343,635.536
27,0,119.162297671,41.244772343,464.680
28,0,119.812695270,41.244772343,281.579
29,0,120.463092869,41.244772343,152.985
30,0,121.113490468,41.244772343,122.200
31,0,121.763888067,41.244772343,1.160
32,0,122.414285666,41.244772343,146.390
33,0,123.064683265,41.244772343,238.065
34,0,123.715080864,41.244772343,320.860
35,0,101.601562500,40.594374744,1273.453
36,0,102.251960099,40.594374744,1323.072
37,0,102.902357698,40.594374744,1521.128
38,0,103.552755297,40.594374744,1532.202
39,0,104.203152896,40.594374744,1470.927
40,0,104.853550495,40.594374744,1416.241
41,0,105.503948094,40.594374744,1237.880
42,0,106.154345693,40.594374744,1096.656
43,0,106.804743291,40.594374744,1210.127
44,0,107.455140890,40.594374744,1358.494
45,0,108.105538489,40.594374744,1293.949
46,0,108.755936088,40.594374744,1339.787
47,0,109.406333687,40.594374744,1314.376
48,0,110.056731286,40.594374744,1267.613
49,0,110.707128885,40.594374744,1101.602
50,0,111.357526484,40.594374744,1129.184
51,0,112.007924083,40.594374744,1377.992
52,0,112.658321682,40.594374744,1307.212
53,0,113.308719281,40.594374744,1251.275
54,0,113.959116880,40.594374744,1261.800
55,0,114.609514479,40.594374744,1364.820
56,0,115.259912078,40.594374744,1170.891
57,0,115.910309676,40.594374744,481.473
58,0,116.560707275,40.594374744,40.115
59,0,117.211104874,40.594374744,41.997
60,0,117.861502473,40.594374744,60.690
61,0,118.511900072,40.594374744,101.058
62,0,119.162297671,40.594374744,232.167
63,0,119.812695270,40.594374744,135.344
