No.,名称,经度(度),纬度(度),高程(米)
0,0,106.962890625,34.379712580,1627.341
1,0,107.130135790,34.379712580,1983.159
2,0,107.297380955,34.379712580,1346.842
3,0,107.464626121,34.379712580,1056.859
4,0,107.631871286,34.379712580,713.946
5,0,107.799116451,34.379712580,579.667
6,0,107.966361616,34.379712580,507.924
7,0,108.133606781,34.379712580,450.765
8,0,108.300851947,34.379712580,422.766
9,0,108.468097112,34.379712580,404.883
10,0,108.635342277,34.379712580,393.679
11,0,108.802587442,34.379712580,401.253
12,0,108.969832607,34.379712580,473.748
13,0,109.137077773,34.379712580,583.250
14,0,109.304322938,34.379712580,699.441
15,0,109.471568103,34.379712580,1026.756
16,0,109.638813268,34.379712580,1428.509
17,0,109.806058433,34.379712580,1550.583
18,0,109.973303599,34.379712580,1445.231
19,0,110.140548764,34.379712580,1167.173
20,0,110.307793929,34.379712580,1066.950
21,0,110.475039094,34.379712580,1297.676
22,0,110.642284259,34.379712580,983.188
23,0,110.809529425,34.379712580,1183.014
24,0,110.976774590,34.379712580,1059.730
25,0,111.144019755,34.379712580,916.289
26,0,111.311264920,34.379712580,731.436
27,0,111.478510085,34.379712580,762.557
28,0,111.645755251,34.379712580,1057.518
29,0,111.813000416,34.379712580,993.564
30,0,111.980245581,34.379712580,632.337
31,0,112.147490746,34.379712580,485.440
32,0,112.314735911,34.379712580,543.694
33,0,112.481981077,34.379712580,466.567
34,0,112.649226242,34.379712580,293.548
35,0,112.816471407,34.379712580,354.309
36,0,112.983716572,34.379712580,474.055
37,0,113.150961737,34.379712580,377.729
38,0,113.318206903,34.379712580,201.376
39,0,113.485452068,34.379712580,171.375
40,0,113.652697233,34.379712580,117.105
41,0,113.819942398,34.379712580,90.087
42,0,113.987187563,34.379712580,75.906
43,0,114.154432729,34.379712580,66.382
44,0,114.321677894,34.379712580,62.008
45,0,114.488923059,34.379712580,60.446
46,0,114.656168224,34.379712580,57.056
47,0,114.823413389,34.379712580,54.332
48,0,114.990658555,34.379712580,53.169
49,0,115.157903720,34.379712580,52.682
50,0,115.325148885,34.379712580,51.558
51,0,115.492394050,34.379712580,49.151
52,0,115.659639215,34.379712580,46.724
53,0,115.826884381,34.379712580,44.998
54,0,115.994129546,34.379712580,42.821
55,0,116.161374711,34.379712580,40.626
56,0,116.328619876,34.379712580,40.145
57,0,116.495865041,34.379712580,40.259
58,0,116.663110207,34.379712580,39.905
59,0,116.830355372,34.379712580,38.561
60,0,116.997600537,34.379712580,38.094
61,0,117.164845702,34.379712580,37.052
62,0,117.332090867,34.379712580,30.590
63,0,117.499336033,34.379712580,29.816
64,0,117.666581198,34.379712580,27.152
65,0,117.833826363,34.379712580,25.693
66,0,118.001071528,34.379712580,22.640
67,0,106.962890625,34.212467415,1614.618
68,0,107.130135790,34.212467415,1835.721
69,0,107.297380955,34.212467415,1759.567
70,0,107.464626121,34.212467415,2050.665
71,0,107.631871286,34.212467415,1513.165
72,0,107.799116451,34.212467415,1634.759
73,0,107.966361616,34.212467415,1397.163
74,0,108.133606781,34.212467415,906.078
75,0,108.300851947,34.212467415,718.715
76,0,108.468097112,34.212467415,686.658
77,0,108.635342277,34.212467415,680.499
78,0,108.802587442,34.212467415,707.176
79,0,108.969832607,34.212467415,781.750
80,0,109.137077773,34.212467415,877.239
81,0,109.304322938,34.212467415,962.691
82,0,109.471568103,34.212467415,1310.917
83,0,109.638813268,34.212467415,1467.447
84,0,109.806058433,34.212467415,1123.591
85,0,109.973303599,34.212467415,976.174
86,0,110.140548764,34.212467415,1017.932
